id,segment,age,annual_inc,gender_cd,cntry_domi,job_desc,has_home_loan,has_cc,marital_sts
100107**,B,41,12573,M,Y,Engineer,1,0,Div
100108**,C,7,0,M,Y,Student,0,0,Single
100109**,B,51,26607,F,X,Business owner,0,1,Married
100110**,A,56,22368,F,Z,Business owner,1,1,Married
100111**,C,25,10057,M,W,Accountant,0,1,Single
100112**,A,51,38237,F,X,Business owner,0,1,Married
100113**,C,24,8710,M,Y,HR,0,1,Div
100114**,E,88,0,F,W,Retired,0,0,Single
100115**,C,15,0,F,W,Student,0,0,Single
100116**,E,25,0,F,W,Home maker,0,0,Married
100117**,E,53,0,M,W,Unemployed,0,0,Married
100118**,E,67,0,F,Y,Home maker,0,0,Married
100119**,D,62,3377,F,W,Accountant,0,1,Single
100120**,D,37,2642,F,W,Engineer,0,0,Single
100121**,B,54,16147,M,W,Lawyer,1,1,Married
100122**,D,45,3676,M,W,Accountant,0,0,Single
100123**,C,29,9215,M,Y,Marketing,0,1,Married
100124**,C,29,10426,F,W,Lawyer,0,1,Married
100125**,D,54,3030,M,W,Engineer,1,0,Married
100126**,C,47,8080,M,W,Engineer,0,1,Married
100127**,C,29,8991,M,W,Lawyer,0,1,Single
100128**,C,7,0,M,W,Student,0,0,Single
100129**,C,15,0,M,W,Student,0,0,Single
100130**,C,47,9925,F,Y,IT,0,0,Div
100131**,E,94,0,F,Y,Retired,0,0,Married
100132**,D,46,2137,M,W,Doctor,0,0,Married
100133**,D,57,3632,M,Y,Teacher,1,1,Married
100134**,C,32,9054,M,W,Engineer,0,1,Div
100135**,B,55,20160,F,W,Accountant,0,1,Married
100136**,D,59,3677,M,W,Business owner,1,1,Single
100137**,C,29,12924,M,W,Doctor,0,1,Married
100138**,C,12,0,M,W,Student,0,0,Single
100139**,B,44,22388,M,W,Business owner,0,1,Single
100140**,D,9,0,F,Y,Student,0,0,Single
100141**,B,56,12333,M,W,IT,0,1,Married
100142**,B,60,14969,M,Z,Business owner,0,1,Married
100143**,B,62,15250,F,Y,Business owner,0,1,Married
100144**,C,30,10773,F,W,Business owner,0,1,Div
100145**,C,36,12528,M,Y,Business owner,1,1,Married
100146**,C,40,6563,F,W,HR,0,1,Married
100147**,E,39,0,M,Y,Unemployed,0,0,Single
100148**,C,22,13562,M,Y,HR,0,1,Single
100149**,B,48,12955,F,X,Business owner,0,1,Married
100150**,C,37,9520,F,Y,HR,0,1,Single
100151**,D,21,2202,M,W,Marketing,0,0,Single
100152**,E,58,0,M,W,Unemployed,0,0,Div
100153**,C,21,9282,F,W,Accountant,0,1,Married
100154**,C,20,10220,M,W,Marketing,0,1,Married
100155**,C,11,0,F,W,Student,0,0,Single
100156**,C,30,8570,F,W,Accountant,0,1,Married
100157**,C,35,6163,M,W,Lawyer,1,1,Married
100158**,C,5,0,M,W,Student,0,0,Single
100159**,C,19,0,M,W,Unemployed,0,0,Single
100160**,D,43,3980,F,W,Accountant,0,1,Div
100161**,B,53,15980,F,X,Business owner,0,1,Div
100162**,D,15,0,M,W,Student,0,0,Single
100163**,B,44,14780,F,Y,IT,0,1,Married
100164**,C,34,7889,M,Y,Doctor,0,1,Married
100165**,D,48,3216,M,W,Accountant,0,1,Married
100166**,D,38,2630,F,W,Teacher,1,0,Married
100167**,D,11,0,F,W,Student,0,0,Single
100168**,C,38,10328,M,Y,Accountant,0,1,Married
100169**,D,69,2897,F,W,Business owner,0,0,Single
100170**,A,51,53044,F,Y,Accountant,0,1,Married
100171**,C,33,13191,F,W,IT,0,1,Single
100172**,D,55,2549,F,W,HR,0,0,Married
100173**,D,16,0,M,W,Student,0,0,Single
100174**,B,53,13492,M,W,Lawyer,1,0,Married
100175**,C,31,11735,M,W,Lawyer,0,1,Div
100176**,D,27,3361,M,W,Doctor,0,1,Married
100177**,C,34,8778,M,W,Lawyer,1,1,Married
100178**,D,88,3177,F,W,Retired,1,1,Div
100179**,D,70,5628,F,W,IT,0,1,Married
100180**,D,58,4721,F,W,IT,0,1,Single
100181**,E,83,0,F,W,Retired,0,0,Div
100182**,D,49,2831,F,W,Teacher,0,0,Single
100183**,D,57,3844,M,W,Business owner,1,1,Single
100184**,D,51,2623,F,W,Teacher,0,0,Single
100185**,D,32,3785,F,W,Marketing,0,1,Div
100186**,C,9,0,M,W,Student,0,0,Single
100187**,D,50,4611,F,W,Teacher,0,1,Married
100188**,E,31,0,F,Y,Home maker,0,0,Single
100189**,D,8,0,F,W,Student,0,0,Single
100190**,D,16,0,M,W,Student,0,0,Single
100191**,C,17,0,M,W,Student,0,0,Single
100192**,B,48,17339,M,Z,Engineer,0,1,Div
100193**,B,39,21960,F,Z,Business owner,0,1,Married
100194**,B,63,26874,M,X,Lawyer,0,1,Married
100195**,C,12,0,F,W,Student,0,0,Single
100196**,B,49,15155,F,Z,Business owner,0,0,Div
100197**,D,28,3983,F,W,Teacher,0,1,Married
100198**,D,38,3416,M,Y,Teacher,0,1,Div
100199**,D,36,2834,M,W,Business owner,0,0,Married
100200**,B,53,20347,M,W,Business owner,0,1,Married
100201**,D,36,3925,M,W,Teacher,0,1,Div
100202**,C,31,6961,F,W,Teacher,0,1,Single
100203**,B,55,10442,M,W,Doctor,0,1,Div
100204**,D,23,2787,M,W,IT,0,0,Single
100205**,B,62,12176,F,W,Business owner,1,1,Single
100206**,C,32,10628,F,W,Doctor,0,1,Married
100207**,C,28,5493,F,W,Accountant,0,1,Married
100208**,D,71,4427,F,W,IT,0,1,Married
100209**,D,23,2642,F,Y,Engineer,0,0,Married
100210**,C,37,8296,M,W,Accountant,1,1,Married
100211**,B,43,31458,F,W,Accountant,0,1,Div
100212**,C,25,9628,F,W,Accountant,0,1,Married
100213**,E,79,0,M,W,Retired,0,0,Single
100214**,C,47,11506,M,W,Accountant,0,0,Div
100215**,B,48,16044,M,W,Doctor,0,1,Div
100216**,C,7,0,F,W,Student,0,0,Single
100217**,A,58,32903,M,Z,Business owner,0,1,Div
100218**,D,8,0,F,W,Student,0,0,Single
100219**,E,90,0,F,W,Retired,0,0,Married
100220**,C,42,8166,F,W,HR,1,1,Married
100221**,C,22,10431,M,W,HR,0,1,Single
100222**,C,38,10488,M,W,Lawyer,0,1,Married
100223**,E,29,0,F,W,Unemployed,0,0,Married
100224**,C,19,0,M,W,Unemployed,0,0,Single
100225**,C,28,8840,F,Y,Business owner,0,1,Married
100226**,C,31,14212,F,Y,Lawyer,0,1,Married
100227**,C,35,9183,M,W,Doctor,1,1,Div
100228**,C,33,11543,F,Y,Doctor,0,1,Single
100229**,C,39,8270,M,W,HR,0,1,Single
100230**,C,23,8417,M,Y,HR,0,1,Div
100231**,C,24,11157,F,W,HR,0,1,Married
100232**,C,32,13668,M,Y,Business owner,0,1,Div
100233**,C,43,10730,F,W,Engineer,0,1,Div
100234**,D,50,3090,F,Y,HR,0,1,Div
100235**,D,49,2752,F,W,HR,0,0,Married
100236**,D,62,2786,M,W,Marketing,0,0,Married
100237**,D,90,3999,F,W,Retired,0,1,Married
100238**,A,56,30866,F,W,IT,0,1,Div
100239**,A,53,38530,M,W,Accountant,1,1,Married
100240**,E,27,0,F,W,Home maker,0,0,Div
100241**,C,25,12546,F,W,HR,0,1,Married
100242**,D,8,0,F,W,Student,0,0,Single
100243**,B,47,18433,M,X,Doctor,0,1,Married
100244**,D,31,2361,F,W,Business owner,0,0,Married
100245**,B,64,17929,F,Y,IT,0,1,Married
100246**,D,81,3431,F,Y,Retired,0,1,Married
100247**,D,71,4747,M,W,Teacher,0,1,Married
100248**,B,72,18932,M,W,Business owner,0,1,Married
100249**,E,43,0,M,W,Unemployed,0,0,Married
100250**,D,30,4893,M,W,HR,0,1,Married
100251**,C,16,0,M,W,Student,0,0,Single
100252**,E,64,0,F,Y,Home maker,0,0,Married
100253**,A,58,19366,M,W,Business owner,0,1,Married
100254**,D,31,3305,F,W,Teacher,0,1,Married
100255**,D,35,2841,F,W,Teacher,0,0,Married
100256**,B,53,11721,M,Z,Lawyer,0,1,Single
100257**,C,29,8251,F,W,IT,0,1,Married
100258**,B,55,22334,M,W,Business owner,0,1,Married
100259**,B,34,19352,M,W,Lawyer,0,0,Married
100260**,B,39,20647,M,Y,Business owner,0,1,Div
100261**,D,39,2311,M,W,HR,0,0,Married
100262**,D,28,2295,F,W,Accountant,0,0,Div
100263**,D,35,3962,M,W,Accountant,0,1,Single
100264**,D,13,0,F,Y,Student,0,0,Single
100265**,E,53,0,M,W,Unemployed,0,0,Single
100266**,C,24,12941,F,W,IT,0,0,Single
100267**,D,50,2758,F,W,Teacher,0,0,Single
100268**,D,50,2824,F,W,Teacher,0,0,Married
100269**,E,11,0,F,W,Student,0,0,Single
100270**,D,45,4337,F,W,Marketing,0,1,Married
100271**,D,34,2436,M,W,Business owner,1,0,Div
100272**,D,5,0,M,Y,Student,0,0,Single
100273**,D,9,0,M,W,Student,0,0,Single
100274**,C,38,6444,M,Y,Teacher,0,1,Married
100275**,A,52,71675,M,Y,Accountant,0,1,Married
100276**,C,35,7300,F,W,HR,0,1,Married
100277**,E,21,0,F,W,Unemployed,0,0,Single
100278**,C,12,0,M,W,Student,0,0,Single
100279**,C,47,8569,M,Y,Business owner,0,1,Div
100280**,D,48,3285,M,W,Marketing,1,1,Div
100281**,A,51,19525,M,W,Engineer,0,1,Married
100282**,D,68,3677,M,W,Engineer,0,1,Single
100283**,D,35,3057,F,W,HR,1,0,Married
100284**,C,16,0,M,W,Student,0,0,Single
100285**,C,16,0,F,W,Student,0,0,Single
100286**,D,23,3439,F,W,Accountant,0,1,Married
100287**,D,5,0,M,W,Student,0,0,Single
100288**,D,38,2965,F,W,Marketing,1,0,Married
100289**,A,56,44809,F,W,IT,0,1,Married
100290**,C,19,0,F,Y,Unemployed,0,0,Single
100291**,E,43,0,F,Y,Home maker,0,0,Married
100292**,B,44,12598,F,Z,Business owner,0,1,Married
100293**,D,25,4235,M,Y,HR,0,0,Married
100294**,A,66,32994,M,Q,Business owner,0,1,Married
100295**,C,26,12295,F,W,Business owner,0,1,Married
100296**,C,35,7550,F,W,Teacher,0,1,Married
100297**,B,49,23356,F,Y,Engineer,0,1,Single
100298**,D,6,0,M,W,Student,0,0,Single
100299**,C,31,8024,M,Y,Business owner,1,1,Married
100300**,D,61,2981,F,W,HR,0,0,Married
100301**,D,34,3199,M,Y,HR,0,1,Married
100302**,B,49,22439,F,Z,Accountant,0,1,Married
100303**,E,75,0,M,W,Retired,0,0,Married
100304**,C,32,12745,M,W,IT,0,1,Div
100305**,D,33,3235,F,W,Accountant,1,1,Married
100306**,B,36,17883,F,W,Accountant,0,1,Married
100307**,B,64,19875,M,W,Accountant,0,1,Single
100308**,C,34,8574,M,W,Business owner,0,0,Single
100309**,D,50,2734,M,W,Business owner,0,0,Married
100310**,D,39,2690,F,W,IT,0,0,Married
100311**,C,24,10843,F,W,HR,0,1,Married
100312**,C,12,0,F,W,Student,0,0,Single
100313**,C,36,13645,M,W,Business owner,0,1,Married
100314**,D,14,0,M,W,Student,0,0,Single
100315**,B,42,19261,F,Z,Doctor,1,1,Div
100316**,D,24,2099,M,W,Teacher,0,0,Married
100317**,C,24,7736,M,Y,Marketing,0,1,Married
100318**,C,23,8869,F,W,Teacher,0,1,Single
100319**,C,26,7484,M,W,HR,0,1,Married
100320**,B,54,16607,F,Z,Lawyer,0,1,Single
100321**,C,18,0,M,Y,Marketing,0,0,Single
100322**,C,35,7573,F,Y,HR,0,1,Single
100323**,B,48,26822,F,X,IT,0,0,Married
100324**,C,35,8284,M,W,Accountant,0,1,Married
100325**,A,52,28956,F,Y,Accountant,0,0,Single
100326**,C,29,7491,M,W,Engineer,0,1,Married
100327**,D,32,2810,F,W,HR,0,0,Div
100328**,C,35,7178,M,W,HR,1,1,Married
100329**,E,25,0,F,W,Unemployed,0,0,Single
100330**,E,59,0,M,W,Unemployed,0,0,Married
100331**,D,83,4228,F,W,Retired,0,1,Single
100332**,D,53,3035,F,Y,HR,1,1,Married
100333**,D,37,2041,M,Y,Marketing,0,0,Married
100334**,D,35,3403,M,W,Engineer,1,1,Married
100335**,D,39,3574,M,W,Accountant,0,1,Married
100336**,D,44,2926,F,W,Teacher,0,0,Married
100337**,D,78,2802,M,Y,Retired,1,0,Div
100338**,C,24,9485,M,W,IT,0,0,Married
100339**,B,50,13577,F,W,Business owner,0,1,Married
100340**,C,24,10527,F,W,Teacher,0,1,Married
100341**,B,48,13907,M,W,Engineer,0,1,Married
100342**,E,40,0,F,W,Home maker,0,0,Married
100343**,C,24,8754,F,W,HR,0,1,Single
100344**,D,39,2287,F,W,IT,0,0,Married
100345**,B,48,14554,M,W,Accountant,0,1,Married
100346**,C,18,0,F,W,HR,0,0,Single
100347**,C,18,0,M,W,Marketing,0,0,Single
100348**,D,38,2945,F,W,IT,0,0,Div
100349**,C,29,11336,F,Y,Business owner,1,1,Single
100350**,D,86,2540,M,W,Retired,0,0,Married
100351**,D,55,3327,M,W,Lawyer,0,1,Div
100352**,B,52,17994,M,X,Engineer,0,1,Div
100353**,B,46,14691,F,X,Accountant,0,1,Married
100354**,D,11,0,F,W,Student,0,0,Single
100355**,B,53,18109,F,W,Engineer,0,1,Married
100356**,C,19,0,F,W,Home maker,0,0,Single
100357**,D,55,3493,F,W,Teacher,0,1,Married
100358**,D,92,4057,F,Y,Retired,1,1,Married
100359**,C,45,9137,F,W,Business owner,0,1,Single
100360**,C,24,9840,F,W,Teacher,0,1,Married
100361**,E,66,0,F,W,Home maker,0,0,Married
100362**,D,38,3030,F,W,IT,0,1,Married
100363**,C,29,10285,M,W,Engineer,0,1,Married
100364**,C,26,5972,F,W,HR,1,1,Married
100365**,B,49,19855,F,W,Accountant,0,1,Married
100366**,C,48,7358,F,Y,Teacher,0,1,Married
100367**,B,43,16313,M,X,Lawyer,1,1,Married
100368**,D,81,2902,M,Y,Retired,0,0,Single
100369**,B,60,18544,F,W,IT,0,1,Div
100370**,B,52,11009,M,W,Business owner,0,1,Married
100371**,E,91,0,M,Y,Retired,0,0,Married
100372**,D,53,2667,F,W,Business owner,0,0,Single
100373**,C,40,12423,M,W,Accountant,0,1,Div
100374**,A,54,27742,M,W,Lawyer,0,1,Married
100375**,D,42,4902,M,Y,Marketing,0,1,Single
100376**,B,63,16624,F,W,Business owner,0,1,Div
100377**,A,54,45351,M,Q,IT,0,1,Married
100378**,A,57,19675,M,X,Business owner,0,1,Married
100379**,D,37,4404,F,W,HR,0,1,Married
100380**,E,74,0,F,W,Retired,0,0,Married
100381**,D,5,0,M,W,Student,0,0,Single
100382**,B,37,19843,M,Z,IT,0,1,Married
100383**,D,31,2522,F,W,Engineer,0,0,Div
100384**,C,24,7414,M,W,IT,0,1,Single
100385**,C,38,13859,M,W,Lawyer,0,1,Div
100386**,E,22,0,M,W,Unemployed,0,0,Married
100387**,B,37,18355,F,W,Engineer,0,1,Div
100388**,D,7,0,F,W,Student,0,0,Single
100389**,E,43,0,M,W,Unemployed,0,0,Married
100390**,C,34,6681,M,W,Doctor,0,1,Married
100391**,C,38,16950,M,W,Lawyer,0,1,Single
100392**,C,27,11772,F,W,Lawyer,0,1,Married
100393**,D,46,4392,F,W,Marketing,1,1,Single
100394**,B,56,20926,F,W,Business owner,1,1,Married
100395**,D,68,3978,F,W,HR,0,1,Married
100396**,C,27,6163,M,Y,Accountant,0,1,Married
100397**,D,48,3618,M,W,Engineer,1,1,Div
100398**,D,25,5342,M,Y,HR,1,1,Married
100399**,C,30,9269,M,W,Accountant,0,1,Single
100400**,E,74,0,F,W,Retired,0,0,Married
100401**,A,42,19663,M,Q,Accountant,0,1,Single
100402**,D,66,4528,M,W,Business owner,0,1,Single
100403**,E,59,0,M,Y,Unemployed,0,0,Married
100404**,A,53,18475,F,W,Business owner,0,1,Married
100405**,D,27,3564,M,W,Lawyer,0,1,Div
100406**,C,24,9997,M,W,HR,0,1,Single
100407**,C,30,10123,F,W,Accountant,0,1,Married
100408**,E,92,0,F,W,Retired,0,0,Single
100409**,D,28,2789,F,W,HR,1,0,Married
100410**,E,61,0,F,W,Unemployed,0,0,Div
100411**,D,28,2093,M,W,Business owner,0,0,Married
100412**,A,51,38146,F,Y,IT,0,1,Married
100413**,C,46,9565,M,W,IT,0,1,Married
100414**,B,49,20587,F,W,Lawyer,0,1,Div
100415**,D,56,2335,F,W,HR,1,0,Single
100416**,D,51,2605,F,W,Accountant,0,0,Div
100417**,E,5,0,F,W,Student,0,0,Single
100418**,C,29,6806,M,W,IT,1,1,Married
100419**,D,38,2625,M,Y,Business owner,0,0,Single
100420**,C,34,14584,F,W,Engineer,0,1,Single
100421**,E,15,0,F,W,Student,0,0,Single
100422**,D,58,2249,M,Y,Lawyer,0,0,Married
100423**,C,19,0,F,W,Unemployed,0,0,Single
100424**,C,30,5659,M,Y,Accountant,0,1,Div
100425**,B,58,11191,M,Z,Accountant,1,1,Married
100426**,D,20,2322,M,W,Business owner,0,0,Single
100427**,E,21,0,F,Y,Unemployed,0,0,Married
100428**,E,44,0,F,W,Unemployed,0,0,Married
100429**,D,24,2984,M,W,Engineer,0,0,Single
100430**,D,21,3283,M,W,Teacher,0,1,Married
100431**,B,58,14016,F,X,Business owner,1,1,Married
100432**,D,46,2785,M,W,Marketing,0,0,Married
100433**,C,23,9041,M,W,Business owner,0,1,Married
100434**,C,31,7269,M,Y,Doctor,0,1,Married
100435**,B,52,18024,F,W,Lawyer,1,1,Married
100436**,C,14,0,M,Y,Student,0,0,Single
100437**,B,37,24360,M,Z,Doctor,0,1,Div
100438**,C,31,7259,F,W,Business owner,0,1,Married
100439**,B,54,11736,F,X,IT,0,1,Married
100440**,C,23,7506,F,W,Teacher,0,1,Div
100441**,C,8,0,F,W,Student,0,0,Single
100442**,D,48,2830,M,W,Accountant,0,0,Married
100443**,D,56,2689,F,W,Accountant,1,0,Single
100444**,B,59,17276,F,X,Business owner,0,1,Married
100445**,E,18,0,M,Y,Business owner,0,0,Single
100446**,C,38,10061,M,W,Engineer,0,0,Married
100447**,A,47,19990,M,Y,IT,1,1,Married
100448**,C,22,9049,M,W,Accountant,0,1,Married
100449**,C,27,16922,M,Y,Accountant,0,1,Married
100450**,D,58,3040,M,W,Marketing,0,1,Div
100451**,C,15,0,M,W,Student,0,0,Single
100452**,B,57,13366,M,W,Accountant,0,1,Single
100453**,C,22,8724,M,Y,HR,0,1,Married
100454**,D,43,2065,F,Y,HR,0,0,Single
100455**,D,47,2638,M,W,Marketing,0,0,Married
100456**,C,19,0,M,W,Unemployed,0,0,Single
100457**,C,41,12659,M,W,Engineer,1,1,Div
100458**,C,36,11310,F,W,Business owner,0,1,Married
100459**,D,29,3067,M,W,Business owner,1,1,Single
100460**,B,56,22177,F,Z,IT,0,1,Married
100461**,D,36,2800,F,Y,HR,0,0,Div
100462**,C,33,14864,M,Y,Business owner,0,1,Married
100463**,C,22,6929,F,W,IT,0,0,Married
100464**,C,40,6788,M,Y,Business owner,0,1,Married
100465**,D,57,2647,M,Y,Teacher,0,0,Married
100466**,E,75,0,F,W,Retired,0,0,Div
100467**,D,18,0,F,W,Business owner,0,0,Single
100468**,C,22,8772,F,Y,Teacher,0,1,Married
100469**,D,30,3562,F,W,IT,0,1,Married
100470**,D,68,6625,M,Y,Accountant,1,1,Div
100471**,C,36,7899,F,W,HR,0,1,Married
100472**,C,34,5746,F,W,IT,0,1,Married
100473**,A,56,23080,M,W,Engineer,1,1,Married
100474**,D,53,2314,M,W,Teacher,0,0,Single
100475**,C,48,7877,F,Y,Business owner,0,1,Married
100476**,B,29,24299,M,W,Doctor,0,1,Married
100477**,A,64,29874,M,W,Business owner,0,1,Married
100478**,D,24,4197,F,W,HR,0,1,Married
100479**,D,38,4735,F,W,IT,0,1,Married
100480**,D,12,0,F,Y,Student,0,0,Single
100481**,B,53,23251,F,W,Doctor,0,1,Single
100482**,C,26,7909,F,W,Teacher,0,1,Married
100483**,B,46,11782,M,W,Business owner,1,1,Div
100484**,B,51,17731,M,Y,Accountant,1,1,Single
100485**,D,51,2430,F,W,Teacher,0,0,Single
100486**,C,33,7410,F,W,Marketing,0,1,Married
100487**,D,32,2781,M,W,Business owner,0,0,Div
100488**,C,21,7098,M,Y,Accountant,0,1,Married
100489**,C,38,6797,M,W,Accountant,0,1,Single
100490**,D,75,2747,M,W,Retired,1,0,Married
100491**,E,65,0,F,W,Home maker,0,0,Married
100492**,D,46,3383,F,W,Teacher,1,1,Married
100493**,C,29,9645,M,Y,Engineer,0,1,Married
100494**,E,54,0,M,W,Unemployed,0,0,Married
100495**,D,45,2185,M,W,Marketing,0,0,Married
100496**,B,44,17554,M,Y,Doctor,0,1,Married
100497**,E,22,0,F,W,Home maker,0,0,Single
100498**,B,62,18025,M,W,Accountant,0,1,Married
100499**,D,60,2437,F,W,HR,0,0,Div
100500**,C,29,7567,M,Y,Business owner,0,1,Single
100501**,C,29,7740,M,Y,Engineer,0,1,Married
100502**,D,17,0,M,W,Student,0,0,Single
100503**,A,56,75613,M,Y,Lawyer,1,1,Married
100504**,B,79,12382,F,Z,Retired,0,1,Married
100505**,E,15,0,F,W,Student,0,0,Single
100506**,D,88,2512,M,W,Retired,0,0,Div
100507**,D,28,3169,M,W,Lawyer,0,1,Married
100508**,C,30,11142,F,W,Business owner,1,1,Married
100509**,E,66,0,M,Y,Unemployed,0,0,Single
100510**,D,59,4160,M,Y,Engineer,1,1,Single
100511**,C,25,8544,F,W,Accountant,0,1,Div
100512**,B,51,13841,F,Y,Engineer,0,1,Single
100513**,B,61,17397,F,W,Accountant,0,1,Married
100514**,D,44,2147,F,W,IT,1,0,Div
100515**,C,43,13384,M,W,Lawyer,1,1,Single
100516**,A,56,40217,M,Z,Business owner,0,1,Div
100517**,D,30,3181,M,W,Teacher,0,1,Single
100518**,D,3,0,M,W,Student,0,0,Single
100519**,B,39,11159,M,X,IT,1,1,Married
100520**,D,21,4469,M,W,Teacher,0,0,Married
100521**,D,48,2818,M,W,Doctor,1,0,Married
100522**,C,45,7437,M,W,Marketing,0,1,Single
